pathway,from_region,to_region,from_country,to_country,max_flow,max_counter_flow,voltage,distance,year_planned,source_1,source_2,assumptions,other_notes
TRNCHNCHCHNSC,CHNCH,CHNSC,CHN,CHN,24000,24000,1000;1000,658;658,2025,https://news.bjx.com.cn/html/20220929/1258242.shtml,-,Total capacity of 24 GW on Sichuan-Chongqing lines planned for 2025 assuming a power factor of 1. Values are given in kVa.,-
TRNCHNCHCHNSI,CHNCH,CHNSI,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNCHCHNSX,CHNCH,CHNSX,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNFUCHNGD,CHNFU,CHNGD,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNFUCHNJX,CHNFU,CHNJX,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNFUCHNZH,CHNFU,CHNZH,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNFUTWNXX,CHNFU,TWNXX,CHN,TWN,0,0,-,-,-,-,-,-,Taiwan is an energy island with no interconnection to other regions/countries. No information on new planned capacity found.
TRNCHNGACHNJS,CHNGA,CHNJS,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNGACHNNI,CHNGA,CHNNI,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNGACHNNM,CHNGA,CHNNM,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNGACHNQI,CHNGA,CHNQI,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNGACHNSC,CHNGA,CHNSC,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNGACHNSD,CHNGA,CHNSD,CHN,CHN,8000,0,800,926,2025,https://cleanenergygrid.org/wp-content/uploads/2020/11/Macro-Grids-in-the-Mainstream-1.pdf,https://www.enerdata.net/publications/daily-energy-news/china-starts-building-800-kv-8-gw-gansu-shandong-transmission-line.html,-,-
TRNCHNGACHNSI,CHNGA,CHNSI,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNGACHNXI,CHNGA,CHNXI,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNGAMNGXX,CHNGA,MNGXX,CHN,MNG,0,0,-,-,-,https://www.adb.org/sites/default/files/project-documents/48030/48030-001-tacr-en_4.pdf,-,There is interest in additional (higher voltage) transmission interconnections between CHN and MNG but as of yet it doesn't seem that any projects are close to actual development.,-
TRNCHNGDCHNGX,CHNGD,CHNGX,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNGDCHNHA,CHNGD,CHNHA,CHN,CHN,0,0,-,-,-,https://energycentral.com/news/hainan-underwater-grid-ready-power-ftz-development,https://www.xinhuanet.com/english/2019-02/12/c_137816315.htm,-,Phase ii of the Hainan - China mainland interconnection development was finalized in 2019/2020 increasing transmission capacity from 600 MW to 1200 MW. No further indications for newly planned projects can be found.
TRNCHNGDCHNHK,CHNGD,CHNHK,CHN,CHN,0,0,500,-,2025,https://www.seetao.com/details/166829.html,-,"The same report that mentions the existing capacity of 1.7 GW between Guandong and Hong-Kong also reports that ""By 2025, Guangdong and Hong Kong will complete the 500 kV power transmission and transformation project, and complete the transformation and upgrading of 4 high-voltage lines and Shenzhen substation."" However, no information can be found on potential increase in terms of capacity hence has not been added to planned capacities.",-
TRNCHNGDCHNHN,CHNGD,CHNHN,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNGDCHNJX,CHNGD,CHNJX,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNGDCHNMA,CHNGD,CHNMA,CHN,CHN,0,0,-,-,-,-,-,-,"A new power line between Guangdong and Macau has been completed in 2022, yet no additional info can be found on potentially other planned capacities going forward so this is set to 0."
TRNCHNGDCHNSC,CHNGD,CHNSC,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNGDCHNYU,CHNGD,CHNYU,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNGUCHNGX,CHNGU,CHNGX,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNGUCHNHN,CHNGU,CHNHN,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNGUCHNJS,CHNGU,CHNJS,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNGUCHNSC,CHNGU,CHNSC,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNGUCHNYU,CHNGU,CHNYU,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNGXCHNHN,CHNGX,CHNHN,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNGXCHNXI,CHNGX,CHNXI,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNGXCHNYU,CHNGX,CHNYU,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNGXVNMNO,CHNGX,VNMNO,CHN,VNM,0,0,-,-,-,"https://southeastasiainfra.com/vietnams-power-development-plan-unlocking-res-potential-to-achieve-energy-transition-goals/#:~:text=These%20lines%20are%20expected%20to,through%20110%20kV%20power%20lines.",https://www.digitimes.com/news/a20230707VL209/digitimes-research-vietnam-ict-manufacturing-meet-the-analyst.html,-,110 kV line between Guangxi and Vietnam has been reopened in 2023 with an agreed max trade of 70 MW. No other concrete plans found as of yet.
TRNCHNHBCHNHE,CHNHB,CHNHE,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNHBCHNLI,CHNHB,CHNLI,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNHBCHNNM,CHNHB,CHNNM,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNHBCHNSD,CHNHB,CHNSD,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNHBCHNSX,CHNHB,CHNSX,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNHBCHNTJ,CHNHB,CHNTJ,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNHECHNHU,CHNHE,CHNHU,CHN,CHN,5000,5000,1000;1000,456.4;456.4,2024,https://www.cell.com/cms/10.1016/j.joule.2021.10.006/attachment/53103cd8-9db9-479b-8b49-f9957e2b418c/mmc1,http://www.jx.chinanews.com.cn/news/2023/0705/81473.html,-,5 GW Wuhan-Nanchang line planned for 2024.
TRNCHNHECHNJS,CHNHE,CHNJS,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNHECHNQI,CHNHE,CHNQI,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNHECHNSD,CHNHE,CHNSD,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNHECHNSI,CHNHE,CHNSI,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNHECHNSX,CHNHE,CHNSX,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNHECHNXI,CHNHE,CHNXI,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNHJCHNJI,CHNHJ,CHNJI,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNHJCHNNM,CHNHJ,CHNNM,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNHJRUSFE,CHNHJ,RUSFE,CHN,RUS,0,0,-,-,-,https://www.garant.ru/products/ipo/prime/doc/404487690/,-,Values are derived from Table 3.1 (translated from Russian).,-
TRNCHNHJRUSSI,CHNHJ,RUSSI,CHN,RUS,0,0,-,-,-,https://www.garant.ru/products/ipo/prime/doc/404487690/,-,Values are derived from Table 3.1 (translated from Russian).,-
TRNCHNHNCHNHU,CHNHN,CHNHU,CHN,CHN,6000,6000,1000;1000,287;287,2023,https://www.cell.com/cms/10.1016/j.joule.2021.10.006/attachment/53103cd8-9db9-479b-8b49-f9957e2b418c/mmc1,https://www.chinadaily.com.cn/a/202206/10/WS62a2ae9ea310fd2b29e61e6f.html,-,6 GW Zhumadian-Wuhan line planned for 2023.
TRNCHNHNCHNJX,CHNHN,CHNJX,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNHNCHNNI,CHNHN,CHNNI,CHN,CHN,0,8000,800,1634,2025,http://www.ecns.cn/cns-wire/2023-06-12/detail-ihcqhipa9366506.shtml,-,-,Planned 8 GW HVDC line transporting desert solar power from Ningxia to Hunan.
TRNCHNHNCHNSC,CHNHN,CHNSC,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNHNCHNSX,CHNHN,CHNSX,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNHUCHNJX,CHNHU,CHNJX,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNHUCHNSC,CHNHU,CHNSC,CHN,CHN,0,8000,800,-,2025,https://www.gov.cn/xinwen/2023-02/16/content_5741824.htm,https://www.seetao.com/details/203205.html,Planned multi-terminal HVDC line that transports hydropowered electricity from Tibet & Sichuan to Hubei. Runs from Tibet into Sichuan on to Hubei (no terminal in Chongqing). Assumption that full flow capacity of 8 GW exists along the entire route.,-
TRNCHNHUCHNSI,CHNHU,CHNSI,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNJICHNLI,CHNJI,CHNLI,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNJICHNNM,CHNJI,CHNNM,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNJIPRKXX,CHNJI,PRKXX,CHN,PRK,0,0,-,-,-,https://www.scmp.com/economy/china-economy/article/3153342/china-ramps-electricity-imports-north-korea-russia-myanmar,-,-,No concrete plans found for new transmission lines between PRK and China despite growing electricity exports from PRK.
TRNCHNJSCHNSC,CHNJS,CHNSC,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNJSCHNSD,CHNJS,CHNSD,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNJSCHNSH,CHNJS,CHNSH,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNJSCHNSI,CHNJS,CHNSI,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNJSCHNSX,CHNJS,CHNSX,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNJSCHNZH,CHNJS,CHNZH,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNJXCHNNM,CHNJX,CHNNM,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNJXCHNSC,CHNJX,CHNSC,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNJXCHNZH,CHNJX,CHNZH,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNLICHNNM,CHNLI,CHNNM,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNLIPRKXX,CHNLI,PRKXX,CHN,PRK,0,0,-,-,-,https://www.scmp.com/economy/china-economy/article/3153342/china-ramps-electricity-imports-north-korea-russia-myanmar,-,-,No concrete plans found for new transmission lines between PRK and China despite growing electricity exports from PRK.
TRNCHNNICHNNM,CHNNI,CHNNM,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNNICHNSD,CHNNI,CHNSD,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNNICHNSI,CHNNI,CHNSI,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNNICHNZH,CHNNI,CHNZH,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNNMCHNSD,CHNNM,CHNSD,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNNMCHNSI,CHNNM,CHNSI,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNNMCHNSX,CHNNM,CHNSX,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNNMCHNTJ,CHNNM,CHNTJ,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNNMMNGXX,CHNNM,MNGXX,CHN,MNG,0,0,-,-,-,https://www.adb.org/sites/default/files/project-documents/48030/48030-001-tacr-en_4.pdf,-,-,There is interest in additional (higher voltage) transmission interconnections between CHN and MNG but as of yet it doesn't seem that any projects are close to actual development.
TRNCHNNMRUSSI,CHNNM,RUSSI,CHN,RUS,0,0,-,-,-,https://www.garant.ru/products/ipo/prime/doc/404487690/,-,Values are derived from Table 3.1 (translated from Russian).,-
TRNCHNQICHNSC,CHNQI,CHNSC,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNQICHNTI,CHNQI,CHNTI,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNQICHNXI,CHNQI,CHNXI,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNSCCHNSI,CHNSC,CHNSI,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNSCCHNTI,CHNSC,CHNTI,CHN,CHN,0,8000,800,-,2025,https://www.gov.cn/xinwen/2023-02/16/content_5741824.htm,https://www.seetao.com/details/203205.html,Planned multi-terminal HVDC line that transports hydropowered electricity from Tibet & Sichuan to Hubei. Runs from Tibet into Sichuan on to Hubei (no terminal in Chongqing). Assumption that full flow capacity of 8 GW exists along the entire route.,-
TRNCHNSCCHNYU,CHNSC,CHNYU,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNSCCHNZH,CHNSC,CHNZH,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNSDCHNSX,CHNSD,CHNSX,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNSDCHNTJ,CHNSD,CHNTJ,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNSDKORXX,CHNSD,KORXX,CHN,KOR,0,0,-,-,-,-,-,-,A transmission link between South-Korea and China has been conceptualized as part of a Asian Supergrid concept yet no actual projects have materialized as of yet.
TRNCHNSDPRKXX,CHNSD,PRKXX,CHN,PRK,0,0,-,-,-,https://www.scmp.com/economy/china-economy/article/3153342/china-ramps-electricity-imports-north-korea-russia-myanmar,-,-,No concrete plans found for new transmission lines between PRK and China despite growing electricity exports from PRK (see sources).
TRNCHNSHCHNZH,CHNSH,CHNZH,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNSICHNSX,CHNSI,CHNSX,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNTICHNXI,CHNTI,CHNXI,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNTICHNYU,CHNTI,CHNYU,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNTIINDNE,CHNTI,INDNE,CHN,IND,0,0,-,-,-,https://powermin.gov.in/en/content/interconnection-neighbouring-countries,-,-,No existing lines/electricity trade between CHN and IND. Also no plans for interconnections to-date.
TRNCHNTIINDNO,CHNTI,INDNO,CHN,IND,0,0,-,-,-,https://powermin.gov.in/en/content/interconnection-neighbouring-countries,-,-,No existing lines/electricity trade between CHN and IND. Also no plans for interconnections to-date.
TRNCHNTIMMRXX,CHNTI,MMRXX,CHN,MMR,0,0,-,-,-,-,-,-,No existing plans found for ties between Tibet and Myanmar. Plans exist for further interconnection between Yunnan and Myanmar.
TRNCHNTINPLXX,CHNTI,NPLXX,CHN,NPL,0,0,220,-,-,https://mofa.gov.np/joint-statement-between-the-peoples-republic-of-china-and-nepal/,https://nea.org.np/admin/assets/uploads/annual_publications/Transmission_2021-22.pdf,-,Initial plans were constructed to develop a 400 kV-5000 MW intertie yet recent discussions between both system operators have lowered project plans to a 220 kV line with lower power rating. Prospects still exist for the 5000 MW intertie but no concrete plans as of yet. No details on the exact power rating for the 220 kV line can be found nor an indicated completion year.
TRNCHNTIPAKXX,CHNTI,PAKXX,CHN,PAK,0,0,-,-,-,-,-,-,"No current lines exist between China and Pakistan, and although there is strong collaboration and multual influences in the energy space no concrete plans as of yet exist for transmission lines."
TRNCHNXIINDNO,CHNXI,INDNO,CHN,IND,0,0,-,-,-,https://powermin.gov.in/en/content/interconnection-neighbouring-countries,-,-,No existing lines/electricity trade between CHN and IND. Also no plans for interconnections to-date.
TRNCHNXIKAZXX,CHNXI,KAZXX,CHN,KAZ,0,0,-,-,-,https://www.kegoc.kz/%D0%9A%D0%B0%D1%80%D1%82%D0%B0%20%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20%D0%95%D0%AD%D0%A1%20%D0%9A%D0%B0%D0%B7%D0%B0%D1%85%D1%81%D1%82%D0%B0%D0%BD%D0%B0-2023%20%D0%B4%D0%B5%D0%B9%D1%81%D1%82%D0%B2%20%20eng.pdf,-,-,No existing/planned lines on KAZ grid map that is up to date as of 2023.
TRNCHNXIKGZXX,CHNXI,KGZXX,CHN,KGZ,0,0,-,-,-,https://en.kabar.kg/news/kyrgyzstan-and-china-deepen-energy-cooperation/,https://www.kegoc.kz/%D0%9A%D0%B0%D1%80%D1%82%D0%B0%20%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20%D0%95%D0%AD%D0%A1%20%D0%9A%D0%B0%D0%B7%D0%B0%D1%85%D1%81%D1%82%D0%B0%D0%BD%D0%B0-2023%20%D0%B4%D0%B5%D0%B9%D1%81%D1%82%D0%B2%20%20eng.pdf,-,There are talks about a potential line between KGZ and CHN but this seems to be in early stages of discussion and can't be considered 'planned' as of yet.
TRNCHNXIMNGXX,CHNXI,MNGXX,CHN,MNG,0,0,-,-,-,https://www.adb.org/sites/default/files/project-documents/48030/48030-001-tacr-en_4.pdf,-,-,There is interest in additional (higher voltage) transmission interconnections between CHN and MNG but as of yet it doesn't seem that any projects are close to actual development.
TRNCHNXIPAKXX,CHNXI,PAKXX,CHN,PAK,0,0,-,-,-,-,-,-,"No current lines exist between China and Pakistan, and although there is strong collaboration and multual influences in the energy space no concrete plans as of yet exist for transmission lines."
TRNCHNXIRUSSI,CHNXI,RUSSI,CHN,RUS,0,0,-,-,-,https://www.garant.ru/products/ipo/prime/doc/404487690/,-,Values are derived from Table 3.1 (translated from Russian).,-
TRNCHNXITJKXX,CHNXI,TJKXX,CHN,TJK,0,0,-,-,-,https://www.iea.org/reports/cross-border-electricity-trading-for-tajikistan-a-roadmap/opportunities-for-electricity-trade,-,-,-
TRNCHNYUCHNZH,CHNYU,CHNZH,CHN,CHN,0,0,-,-,-,-,-,No data available on lower voltage inter-regional transmission development within China so planned capacities set to 0.,-
TRNCHNYULAOXX,CHNYU,LAOXX,CHN,LAO,0,0,500,-,-,https://www.reuters.com/business/energy/china-general-nuclear-enters-agreement-develop-renewable-energy-base-laos-2023-09-18/,-,-,There are plans for a new 500 kV tieline yet no concrete information regarding power ratings/planned commissioning year.
TRNCHNYUMMRXX,CHNYU,MMRXX,CHN,MMR,1000,1000,-,-,-,https://thedocs.worldbank.org/en/doc/6bd0c527c8469333b119d88cc0b8b410-0070062023/original/In-The-Dark-Power-Sector-Challenges-in-Myanmar-August2023.pdf,https://www.irrawaddy.com/news/burma/myanmar-regime-signs-energy-agreement-with-china.html,-,Intentions exist to realise a 1 GW intertie between Myanmar and Yunnan (was part of a 2018 development plant in Myanmar) but as to-date has not yet materialized. Initial plans for completion were 2025 but this has been delayed.
TRNCHNYUVNMNO,CHNYU,VNMNO,CHN,VNM,0,0,-,-,-,"https://southeastasiainfra.com/vietnams-power-development-plan-unlocking-res-potential-to-achieve-energy-transition-goals/#:~:text=These%20lines%20are%20expected%20to,through%20110%20kV%20power%20lines.",https://www.digitimes.com/news/a20230707VL209/digitimes-research-vietnam-ict-manufacturing-meet-the-analyst.html,-,No additional concrete plans found for new lines.
TRNCIVXXGHAXX,CIVXX,GHAXX,CIV,GHA,0,0,-,-,-,https://www.au-pida.org/view-project/2005/,-,-,Currently ongoing a reinforcement project
TRNCIVXXGINXX,CIVXX,GINXX,CIV,GIN,0,0,-,-,-,https://www.ecowapp.org/sites/default/files/volume_0.pdf,-,-,-
TRNCIVXXLBRXX,CIVXX,LBRXX,CIV,LBR,250,250,220,650,2024,https://www.ecowapp.org/en/tenders/feasibility-study-225kv-wapp-c%C3%B4te-d%E2%80%99ivoire-liberia-transmission-interconnection,-,-,-
TRNCIVXXMLIXX,CIVXX,MLIXX,CIV,MLI,690,690,225,-,2025,https://www.ecowapp.org/sites/default/files/2015-2019_business_plan.pdf,https://www.eib.org/en/press/all/2021-138-330-millions-d-eur-de-l-equipe-europe-a-la-construction-de-la-nouvelle-ligne-electrique-de-225-kv-guinee-mali-qui-approvisionnera-en-energie-propre-et-abordable-des-millions-de-personnes-en-afrique-de-l-ouest,-,-
TRNCMRXXCOGXX,CMRXX,COGXX,CMR,COG,0,0,-,-,-,https://www.sciencedirect.com/science/article/pii/S2211467X22001985,-,-,-
TRNCMRXXGABXX,CMRXX,GABXX,CMR,GAB,0,0,-,-,-,-,-,-,No information on new planned capacity found.
TRNCMRXXGNQXX,CMRXX,GNQXX,CMR,GNQ,0,0,225,-,-,https://www.nepad.org/countries/equatorial-guinea,-,"A 3800 km interconnector is planned from DRC to South Africa through Angola, Gabon, and Namibia and to the north to Cameroon, Chad and Equatorial Guinea;but there is no information on a direct interconnector from Cameroon to Equatorial Guinea. Only the planned voltage of the pathway can be found hence capacity values in terms of MW have been left blank.",-
TRNCMRXXNGAXX,CMRXX,NGAXX,CMR,NGA,0,0,-,-,-,https://documents1.worldbank.org/curated/en/275701519410850720/pdf/EXT-AUD-REPORT-CLSG-PROJECT-2016-ENG.pdf,-,Potential line between Nigeria-Cameroon reported in the Power Africa report (Appendix A) but besides that no additional information hence the project has not been added as planned project as of yet.,-
TRNCMRXXTCDXX,CMRXX,TCDXX,CMR,TCD,200,200,225,1556,2028,https://documents1.worldbank.org/curated/en/482631592619043723/pdf/Cameroon-and-Chad-Power-Interconnection-Project.pdf,https://www.nsenergybusiness.com/projects/cameroon-chad-interconnection-project/,-,-
TRNCODXXCOGXX,CODXX,COGXX,COD,COG,0,0,-,-,-,https://www.iea.org/articles/democratic-republic-of-the-congo-energy-outlook,-,-,No information found on new capacity coming online post 2015 study. No new lines visible following 2019 IEA study.
TRNCODXXRWAXX,CODXX,RWAXX,COD,RWA,0,0,-,-,-,https://projectsportal.afdb.org/dataportal/VProject/show/P-Z1-FA0-035,-,-,"Planned interconnection as part of the Interconnection of Electric Grids of Nile Equatorial Lakes Countries (Grant to the Democratic Republic of Congo) has been cancelled, therefore assumed planned capacity values as zero"
TRNCODXXSSDXX,CODXX,SSDXX,COD,SSD,0,0,-,-,-,https://ewsdata.rightsindevelopment.org/files/documents/91/WB-P178891_JOZPp03.pdf,-,-,No existing lines between COD and SSD and no reported concrete plans within the World Bank Report so existing and planned capacities set to 0.
TRNCODXXTZAXX,CODXX,TZAXX,COD,TZA,0,0,-,-,-,https://www.sciencedirect.com/science/article/pii/S097308262030243X#f0015,-,-,-
TRNCODXXUGAXX,CODXX,UGAXX,COD,UGA,140,140,220,-,-,https://www.sciencedirect.com/science/article/pii/S097308262030243X#f0015,https://www.afdb.org/en/documents/uganda-rdc-220-kv-400kv-uganda-beni-d-r-congo-beni-bunia-butembo-power-interconnection-project-project-information-memorendum,-,-
TRNCODXXZMBXX,CODXX,ZMBXX,COD,ZMB,0,0,330,190,-,"https://www.afdb.org/en/documents/drc-kolwezi-zambia-solwezi-330-kv-power-line-interconnection-project-project-information-memorendum#:~:text=The%20proposed%20interconnector%20will%20result,the%20Northwestern%20Province%20of%20Zambia.",-,-,-
